number	type	latency	duration
188.000000	12	188.000000	1.000000
189.000000	200	189.000000	1.000000
190.000000	210	190.000000	1.000000
191.000000	33	191.000000	1.000000
192.000000	43	192.000000	1.000000
193.000000	113	193.000000	1.000000
194.000000	23	194.000000	1.000000
195.000000	103	195.000000	1.000000
196.000000	63	196.000000	1.000000
197.000000	23	197.000000	1.000000
198.000000	53	198.000000	1.000000
199.000000	103	199.000000	1.000000
200.000000	53	200.000000	1.000000
201.000000	153	201.000000	1.000000
202.000000	13	202.000000	1.000000
203.000000	33	203.000000	1.000000
204.000000	43	204.000000	1.000000
205.000000	103	205.000000	1.000000
206.000000	53	206.000000	1.000000
207.000000	103	207.000000	1.000000
208.000000	53	208.000000	1.000000
209.000000	123	209.000000	1.000000
210.000000	23	210.000000	1.000000
211.000000	153	211.000000	1.000000
212.000000	13	212.000000	1.000000
213.000000	33	213.000000	1.000000
214.000000	43	214.000000	1.000000
215.000000	103	215.000000	1.000000
216.000000	53	216.000000	1.000000
217.000000	103	217.000000	1.000000
218.000000	53	218.000000	1.000000
219.000000	153	219.000000	1.000000
220.000000	13	220.000000	1.000000
221.000000	33	221.000000	1.000000
222.000000	43	222.000000	1.000000
223.000000	103	223.000000	1.000000
224.000000	53	224.000000	1.000000
225.000000	113	225.000000	1.000000
226.000000	23	226.000000	1.000000
227.000000	103	227.000000	1.000000
228.000000	53	228.000000	1.000000
229.000000	153	229.000000	1.000000
230.000000	13	230.000000	1.000000
231.000000	33	231.000000	1.000000
232.000000	43	232.000000	1.000000
233.000000	103	233.000000	1.000000
234.000000	53	234.000000	1.000000
235.000000	113	235.000000	1.000000
236.000000	23	236.000000	1.000000
237.000000	103	237.000000	1.000000
238.000000	53	238.000000	1.000000
239.000000	153	239.000000	1.000000
240.000000	13	240.000000	1.000000
241.000000	33	241.000000	1.000000
242.000000	43	242.000000	1.000000
243.000000	103	243.000000	1.000000
244.000000	63	244.000000	1.000000
245.000000	23	245.000000	1.000000
246.000000	53	246.000000	1.000000
247.000000	103	247.000000	1.000000
248.000000	53	248.000000	1.000000
249.000000	153	249.000000	1.000000
250.000000	13	250.000000	1.000000
251.000000	33	251.000000	1.000000
252.000000	43	252.000000	1.000000
253.000000	3	253.000000	1.000000
254.000000	83	254.000000	1.000000
255.000000	3	255.000000	1.000000
256.000000	3	256.000000	1.000000
257.000000	3	257.000000	1.000000
258.000000	13	258.000000	1.000000
259.000000	200	259.000000	1.000000
260.000000	210	260.000000	1.000000
261.000000	34	261.000000	1.000000
262.000000	44	262.000000	1.000000
263.000000	114	263.000000	1.000000
264.000000	24	264.000000	1.000000
265.000000	104	265.000000	1.000000
266.000000	104	266.000000	1.000000
267.000000	54	267.000000	1.000000
268.000000	154	268.000000	1.000000
269.000000	54	269.000000	1.000000
270.000000	14	270.000000	1.000000
271.000000	34	271.000000	1.000000
272.000000	44	272.000000	1.000000
273.000000	104	273.000000	1.000000
274.000000	114	274.000000	1.000000
275.000000	24	275.000000	1.000000
276.000000	104	276.000000	1.000000
277.000000	94	277.000000	1.000000
278.000000	24	278.000000	1.000000
279.000000	54	279.000000	1.000000
280.000000	154	280.000000	1.000000
281.000000	64	281.000000	1.000000
282.000000	24	282.000000	1.000000
283.000000	54	283.000000	1.000000
284.000000	14	284.000000	1.000000
285.000000	34	285.000000	1.000000
286.000000	44	286.000000	1.000000
287.000000	104	287.000000	1.000000
288.000000	104	288.000000	1.000000
289.000000	54	289.000000	1.000000
290.000000	164	290.000000	1.000000
291.000000	24	291.000000	1.000000
292.000000	154	292.000000	1.000000
293.000000	54	293.000000	1.000000
294.000000	14	294.000000	1.000000
295.000000	34	295.000000	1.000000
296.000000	44	296.000000	1.000000
297.000000	104	297.000000	1.000000
298.000000	104	298.000000	1.000000
299.000000	54	299.000000	1.000000
300.000000	154	300.000000	1.000000
301.000000	54	301.000000	1.000000
302.000000	14	302.000000	1.000000
303.000000	34	303.000000	1.000000
304.000000	44	304.000000	1.000000
305.000000	104	305.000000	1.000000
306.000000	104	306.000000	1.000000
307.000000	54	307.000000	1.000000
308.000000	154	308.000000	1.000000
309.000000	54	309.000000	1.000000
310.000000	14	310.000000	1.000000
311.000000	34	311.000000	1.000000
312.000000	44	312.000000	1.000000
313.000000	104	313.000000	1.000000
314.000000	114	314.000000	1.000000
315.000000	24	315.000000	1.000000
316.000000	104	316.000000	1.000000
317.000000	54	317.000000	1.000000
318.000000	114	318.000000	1.000000
319.000000	24	319.000000	1.000000
320.000000	154	320.000000	1.000000
321.000000	54	321.000000	1.000000
322.000000	14	322.000000	1.000000
323.000000	34	323.000000	1.000000
324.000000	44	324.000000	1.000000
325.000000	4	325.000000	1.000000
326.000000	4	326.000000	1.000000
327.000000	4	327.000000	1.000000
328.000000	4	328.000000	1.000000
329.000000	4	329.000000	1.000000
330.000000	14	330.000000	1.000000
