type,value,duration,time,offset
Time 0,,1,0.002,0
Stimulus,35,1,0.002,0
Time 0,,1,0.002,0
Stimulus,45,1,0.002,0
Time 0,,1,0.002,0
Stimulus,65,1,0.002,0
Time 0,,1,0.002,0
Stimulus,25,1,0.002,0
Time 0,,1,0.002,0
Stimulus,55,1,0.002,0
Time 0,,1,0.002,0
Stimulus,155,1,0.002,0
Time 0,,1,0.002,0
Stimulus,105,1,0.002,0
Time 0,,1,0.002,0
Stimulus,55,1,0.002,0
Time 0,,1,0.002,0
Stimulus,155,1,0.002,0
Time 0,,1,0.002,0
Stimulus,15,1,0.002,0
Time 0,,1,0.002,0
Stimulus,35,1,0.002,0
Time 0,,1,0.002,0
Stimulus,45,1,0.002,0
Time 0,,1,0.002,0
Stimulus,55,1,0.002,0
Time 0,,1,0.002,0
Stimulus,155,1,0.002,0
Time 0,,1,0.002,0
Stimulus,105,1,0.002,0
Time 0,,1,0.002,0
Stimulus,55,1,0.002,0
Time 0,,1,0.002,0
Stimulus,115,1,0.002,0
Time 0,,1,0.002,0
Stimulus,25,1,0.002,0
Time 0,,1,0.002,0
Stimulus,155,1,0.002,0
Time 0,,1,0.002,0
Stimulus,15,1,0.002,0
Time 0,,1,0.002,0
Stimulus,35,1,0.002,0
Time 0,,1,0.002,0
Stimulus,45,1,0.002,0
Time 0,,1,0.002,0
Stimulus,65,1,0.002,0
Time 0,,1,0.002,0
Stimulus,25,1,0.002,0
Time 0,,1,0.002,0
Stimulus,55,1,0.002,0
Time 0,,1,0.002,0
Stimulus,155,1,0.002,0
Time 0,,1,0.002,0
Stimulus,105,1,0.002,0
Time 0,,1,0.002,0
Stimulus,175,1,0.002,0
Time 0,,1,0.002,0
Stimulus,25,1,0.002,0
Time 0,,1,0.002,0
Stimulus,175,1,0.002,0
Time 0,,1,0.002,0
Stimulus,25,1,0.002,0
Time 0,,1,0.002,0
Stimulus,55,1,0.002,0
Time 0,,1,0.002,0
Stimulus,155,1,0.002,0
Time 0,,1,0.002,0
Stimulus,15,1,0.002,0
Time 0,,1,0.002,0
Stimulus,35,1,0.002,0
Time 0,,1,0.002,0
Stimulus,45,1,0.002,0
Time 0,,1,0.002,0
Stimulus,55,1,0.002,0
Time 0,,1,0.002,0
Stimulus,155,1,0.002,0
Time 0,,1,0.002,0
Stimulus,105,1,0.002,0
Time 0,,1,0.002,0
Stimulus,55,1,0.002,0
Time 0,,1,0.002,0
Stimulus,155,1,0.002,0
Time 0,,1,0.002,0
Stimulus,15,1,0.002,0
Time 0,,1,0.002,0
Stimulus,35,1,0.002,0
Time 0,,1,0.002,0
Stimulus,45,1,0.002,0
Time 0,,1,0.002,0
Stimulus,55,1,0.002,0
Time 0,,1,0.002,0
Stimulus,125,1,0.002,0
Time 0,,1,0.002,0
Stimulus,25,1,0.002,0
Time 0,,1,0.002,0
Stimulus,155,1,0.002,0
Time 0,,1,0.002,0
Stimulus,105,1,0.002,0
Time 0,,1,0.002,0
Stimulus,115,1,0.002,0
Time 0,,1,0.002,0
Stimulus,25,1,0.002,0
Time 0,,1,0.002,0
Stimulus,65,1,0.002,0
Time 0,,1,0.002,0
Stimulus,25,1,0.002,0
Time 0,,1,0.002,0
Stimulus,55,1,0.002,0
Time 0,,1,0.002,0
Stimulus,155,1,0.002,0
Time 0,,1,0.002,0
Stimulus,15,1,0.002,0
Time 0,,1,0.002,0
Stimulus,35,1,0.002,0
Time 0,,1,0.002,0
Stimulus,45,1,0.002,0
Time 0,,1,0.002,0
Stimulus,55,1,0.002,0
Time 0,,1,0.002,0
Stimulus,125,1,0.002,0
Time 0,,1,0.002,0
Stimulus,25,1,0.002,0
Time 0,,1,0.002,0
Stimulus,165,1,0.002,0
Time 0,,1,0.002,0
Stimulus,25,1,0.002,0
Time 0,,1,0.002,0
Stimulus,155,1,0.002,0
Time 0,,1,0.002,0
Stimulus,105,1,0.002,0
Time 0,,1,0.002,0
Stimulus,55,1,0.002,0
Time 0,,1,0.002,0
Stimulus,155,1,0.002,0
Time 0,,1,0.002,0
Stimulus,15,1,0.002,0
Time 0,,1,0.002,0
Stimulus,35,1,0.002,0
Time 0,,1,0.002,0
Stimulus,45,1,0.002,0
Time 0,,1,0.002,0
Stimulus,5,1,0.002,0
Time 0,,1,0.002,0
Stimulus,165,1,0.002,0
Time 0,,1,0.002,0
Stimulus,115,1,0.002,0
Time 0,,1,0.002,0
Stimulus,65,1,0.002,0
Time 0,,1,0.002,0
Stimulus,165,1,0.002,0
Time 0,,1,0.002,0
Stimulus,15,1,0.002,0
Time 0,,1,0.002,0
Stimulus,200,1,0.002,0
Time 0,,1,0.002,0
Stimulus,210,1,0.002,0
Time 0,,1,0.002,0
Stimulus,31,1,0.002,0
Time 0,,1,0.002,0
Stimulus,41,1,0.002,0
Time 0,,1,0.002,0
Stimulus,101,1,0.002,0
Time 0,,1,0.002,0
Stimulus,51,1,0.002,0
Time 0,,1,0.002,0
Stimulus,151,1,0.002,0
Time 0,,1,0.002,0
Stimulus,151,1,0.002,0
Time 0,,1,0.002,0
Stimulus,91,1,0.002,0
Time 0,,1,0.002,0
Stimulus,21,1,0.002,0
Time 0,,1,0.002,0
Stimulus,51,1,0.002,0
Time 0,,1,0.002,0
Stimulus,11,1,0.002,0
Time 0,,1,0.002,0
Stimulus,31,1,0.002,0
Time 0,,1,0.002,0
Stimulus,41,1,0.002,0
Time 0,,1,0.002,0
Stimulus,101,1,0.002,0
Time 0,,1,0.002,0
Stimulus,51,1,0.002,0
Time 0,,1,0.002,0
Stimulus,151,1,0.002,0
Time 0,,1,0.002,0
Stimulus,161,1,0.002,0
Time 0,,1,0.002,0
Stimulus,21,1,0.002,0
Time 0,,1,0.002,0
Stimulus,151,1,0.002,0
Time 0,,1,0.002,0
Stimulus,51,1,0.002,0
Time 0,,1,0.002,0
Stimulus,11,1,0.002,0
Time 0,,1,0.002,0
Stimulus,31,1,0.002,0
Time 0,,1,0.002,0
Stimulus,41,1,0.002,0
Time 0,,1,0.002,0
Stimulus,101,1,0.002,0
Time 0,,1,0.002,0
Stimulus,51,1,0.002,0
Time 0,,1,0.002,0
Stimulus,151,1,0.002,0
